project;ID.num.QN;ID.num.Stoikos;ID.analysis;species;site;UTMx;UTMy;elevation;lat;long;habitat.red;expo;leaf_length;leaf_length_cv;leaf_width;leaf_width_cv;leaf_area;leaf_area_cv;leaf_form;leaf_form_cv;cell_length;cell_length_cv;cell_width;cell_width_cv;cell_wall;cell_wall_cv;cell_area;cell_area_cv;wac;wac_cv;mma;mma_cv;shoot.len;pleuro;mono;spo.freq;spo.dia;Zn;Pb;Ni;As;Co;Cd;B;Hg;Cr;Cu;Mn;Mg;S;Ca;P;Fe;Na;K;Al;N;C;d15N;d13C;annual_mean_temp;temp_seasonality;annual_precipitation;precip_driest_month;precip_seasonality
QN;117;NA;HedCil-02;Hedwigia ciliata;R-EMP-06;509191;4681765;0.43;42.28805095;3.111482985;T;S;1964.166667;0.610201527;981.0833333;0.15592761;1270250;1.056074725;2.001777171;0.098303163;15.40065278;0.217006664;9.442875;0.115223775;2.521333333;0.265342552;114.5812582;0.260939718;1.572697003;0.187316765;0.0923;0.203834015;100;1;1;3;27;26.35687928;5.684194447;3.106243385;0.915129324;1.134529415;0.112586888;15.20789048;0.037528963;51.963179;14.434216;80.831612;2523.101039;1281.758423;8816.419422;1353.929505;3250.58555;161.663224;5080.844198;3449.777737;14.065813;444.4228461;-5.090565914;-27.64735286;15.3083334;562.9017334;528;17;33.92736816
QN;127;NA;HedCil-03;Hedwigia ciliata;R-MNG-07;465245;4617241;122.27;41.70619941;2.582259433;T;S;2082;0.208850887;1012.25;0.203814993;1314916.667;0.666282559;2.054733319;0.025587965;15.40065278;0.217006664;9.442875;0.115223775;2.521333333;0.265342552;114.5812582;0.260939718;1.091264668;0.187316765;0.1291;0.203834015;100;1;1;3;27;20.14630025;5.174374654;3.844608597;0.454738651;0.844022497;0.127464622;3.999633138;0.041339877;106.794683;6.88998;75.789775;1398.665852;754.452762;6976.10431;575.313294;2370.15297;189.474438;2873.121479;2390.822909;14.723577;438.4984746;-6.22963232;-28.74458175;14.27916622;556.6394653;801;35;23.99168968
QN;148;NA;HedCil-07;Hedwigia ciliata;R-MTY-31;457093;4622508;590.17;41.75323991;2.483899703;T;O;1960.166667;0.208850887;748.8333333;0.203814993;905666.6667;0.666282559;2.620332605;0.025587965;15.40065278;0.217006664;9.442875;0.115223775;2.521333333;0.265342552;114.5812582;0.260939718;0.907772021;0.187316765;0.0992;0.203834015;100;1;1;3;27;26.16679933;6.034141969;4.27536207;0.633386973;1.060357656;0.20076105;20.06479447;0.059380029;110.277196;8.482861;197.933429;2462.857383;1108.427203;8646.863233;622.076492;2960.518576;107.449576;3848.391387;3161.279626;12.771856;417.1599158;-6.050669805;-28.0442671;12.53750038;566.0554199;844;44;22.46439552
QN;25;NA;HomLut-01;Homalothecium lutescens;R-MOI-03;433218;4630739;924.73;41.82572051;2.195819291;T;S;2431;0.037629187;633.3333333;0.250293588;908250;0.290808066;3.863990665;0.105904743;60.11842466;0.170150002;4.443616438;0.148587318;1.819739726;0.246517877;209.9612635;0.230431999;2.399606299;0.178332182;0.101;0.076867944;100;1;0;1;18;74.9561255;23.02411116;14.29300184;5.35946087;4.061907186;0.378314885;16.98102865;0.112830755;76.326687;21.688412;275.439785;3009.926322;1397.110233;18746.49812;730.081357;10549.67561;116.149307;3650.406785;13599.42455;16.583166;813.526576;-5.222823255;-30.70373726;11.21249962;595.8421021;813;45;22.19942474
QN;55;NA;HomLut-02;Homalothecium lutescens;R-CAD-06;373734;4674987;1261.22;42.21685826;1.470185542;T;O;2369.916667;0.037629187;741.5833333;0.250293588;985666.6667;0.290808066;3.266136832;0.105904743;60.11842466;0.170150002;4.443616438;0.148587318;1.819739726;0.246517877;209.9612635;0.230431999;1.999196141;0.178332182;0.0892;0.076867944;100;1;0;1;18;24.98914986;3.947522785;5.443737414;0.759935098;0.96100742;0.118277836;20.38518508;0.097579215;150.804241;15.139306;53.225026;1803.737003;1114.768607;10429.14821;851.600421;2800.227773;106.450053;3761.235193;2646.466586;15.707563;427.260428;-6.872208138;-30.02451693;8.716666222;613.0561523;840;53;20.18828964
QN;81;NA;HomLut-03;Homalothecium lutescens;R-PLL-02;334553;4674121;543.58;42.20175248;0.995970706;T;S;1855.833333;0.037629187;501.3333333;0.250293588;530212.2689;0.290808066;3.755516393;0.105904743;60.11842466;0.170150002;4.443616438;0.148587318;1.819739726;0.246517877;209.9612635;0.230431999;2.32183908;0.178332182;0.0852;0.076867944;100;1;0;1;18;18.52069288;1.895066597;2.95885188;1.551088122;0.936385848;0.050959774;24.81740996;0.038219831;57.329746;6.369972;76.439661;1506.49832;936.385848;16909.09002;1879.141668;2532.063773;66.884703;4869.843407;2528.878787;12.797416;392.7756525;-4.624602201;-27.40913006;12.3166666;638.5720215;663;37;21.68233109
QN;110;NA;HomSer-02;Homalothecium sericeum;R-GAR-02;403410;4575888;340.67;41.32868697;1.84576434;T;O;2715;0.157793027;718.4166667;0.131633675;898333.3333;0.209436124;3.828656685;0.143110636;49.43128358;0.163683018;4.125880597;0.195189546;1.889238806;0.161966459;159.8303911;0.248414065;1.970551378;0.060441245;0.0986;0.137066013;100;1;0;2;16.5;11.82871385;1.93720036;2.301057124;0.589582718;0.562630366;0.064011838;29.98449253;0.047166617;60.642794;3.369044;101.071323;1633.986391;933.225217;15187.65083;656.9636;2375.176094;90.964191;4989.554319;2587.425873;11.218415;387.951992;-5.101863364;-28.94577809;14.32499981;558.722168;658;26;28.04815102
QN;118;NA;HomSer-03;Homalothecium sericeum;R-EMP-07;513633;4685685;603.59;42.32329002;3.165454823;T;O;1531.583333;0.157793027;542;0.131633675;651640.7178;0.209436124;2.864650056;0.143110636;49.43128358;0.163683018;4.125880597;0.195189546;1.889238806;0.161966459;159.8303911;0.248414065;2.085743802;0.060441245;0.1147;0.137066013;100;1;0;2;16.5;18.23140227;3.020349067;5.350332633;0.724883776;1.254163993;0.218615742;37.96147299;0.071913073;103.554825;8.629569;54.653935;2171.774805;920.487335;12392.06074;1098.831756;3172.804782;169.714852;4524.770554;2258.070493;10.16466;384.1144114;-4.451507481;-27.27398166;13.32499981;571.6304321;684;22;28.2636261
QN;168;NA;HomSer-04;Homalothecium sericeum;R-TAL-04;274239;4531294;579.71;40.90161238;0.319736798;T;P;1803.333333;0.157793027;544.6666667;0.131633675;679430.1328;0.209436124;3.359200812;0.143110636;49.43128358;0.163683018;4.125880597;0.195189546;1.889238806;0.161966459;159.8303911;0.248414065;2.240394089;0.060441245;0.1234;0.137066013;100;1;0;2;16.5;18.48228263;3.986692968;5.600199812;1.707655131;1.746613043;0.142845676;32.31883428;0.051943882;100.641272;6.492985;136.352691;2843.927557;749.939801;17488.85588;564.88972;4077.594762;94.148287;3363.36638;4350.300144;8.805251;371.4397671;-5.775014763;-30.17509158;12.80000019;616.434021;538;18;31.42304802
QN;51;NA;HylSpl-01;Hylocomium splendens;T-CAD-05;372808;4674357;1570.95;42.21103617;1.459108134;T;O;4078.525917;0.279358636;2114.720667;0.161641364;6226534.75;0.167221593;2.051937376;0.13285142;43.531125;0.237944609;4.032384615;0.172471325;1.900634615;0.202145862;141.2274572;0.367697746;1.677359655;0.014245463;0.0859;0.207686045;175;1;0;1;15.5;34.74814822;4.82365857;5.650389769;0.594610516;1.179681826;0.130369151;55.95062373;0.095392061;98.571797;11.589886;111.290738;2248.072913;988.897703;12184.74597;1119.266853;3847.479809;120.829944;3974.669224;3707.571452;18.670773;634.15759;-6.001949812;-30.64597366;7.529166698;614.8926392;936;58;18.2479744
